C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 03:41:11 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 16
Input data: [0001,0001,0001,0001,0001]

   1000000 IRI1SLIUISRXIL [0009,0008]
   2000000 IRI1SIIU2L2L22 [0008,0004,0009]
   3000000 IRI1XIISIU2S1R [0005,0022]
   4000000 IRI1R1IUI3LX2U [0004,0001,0004]
   5000000 IRI1RXIIL12XRX [0008]
   6000000 IRI1RISLC2I22X [0008,0001,0002]
   7000000 IRI1RIUIU33R2R [0004,0001,0008,0008]
   8000000 IRI1RIIRI33U23 [0001,0004,0004,0001,0002]
   9000000 IRI1U1I2LXIXSI [0011,0001]
  10000000 IRI1USIIL12U1S [0008,0007]
  11000000 IRI1UI1ISUIXLS [0001,0031]
  12000000 IRI1UIU2UIX21U [0004,0008,0001]
  13000000 IRI1UIISSSCRIS [0008,0223]
  14000000 IRI1LXIRIRIUS2 [0002,0006,0001]
  15000000 IRI1LIUXSILSIR [0019,0002]
  16000000 IRI1LIIL1I3U2L [0001,0008,0001,0004,0008]
  17000000 IRI1I2R1IXIX22 [0001,0002,0002]
  18000000 IRI1I2LI3SRXX [0001]
  19000000 IRI1I1SU1IXU1R [0004,0009]
  20000000 IRI1I1UIR1L1RI [0001,0001,0004,0004,0001]
  21000000 IRI1I1IL2I3R11 [0001,0008,0001,0001,0004]
  22000000 IRI1ISLIXSCIL [0008,0011,0008]
  23000000 IRI1IXISLSUIU [0064,0004]
  24000000 IRI1IRXRI1RXRS [0003]
  25000000 IRI1IRILISUSSS [0623]
  26000000 IRI1IU1UIS2XLS [00c4]
  27000000 IRI1IUI2U13UIC [0004,0008,0001,0004,0001]
  28000000 IRI1IL21IIU3U1 [0002,0008,0001,0004,0004]
  29000000 IRI1ILS1IRS1SR [0056]
  30000000 IRI1ILIX12I3XR [0002,0001,0002]
  31000000 IRI1II3UI3R21 [0002,0001,0001,0004,0002]
  32000000 IRI1II2I1XRSXR [0001,0002]
  33000000 IRI1IIR2UI4SL1 [0001,0002,0088,0008]
  34000000 IRI1IIUSC2SUIC [0001,0004,000c,0001]
  35000000 IRI1IILIXLSLSL [0001,0051]
  36000000 IRISRCRIIRI3LS [0004,0001,0002,0003]
  37000000 IRISRI1UC22XU1 [0004,0001]
  38000000 IRISRII2U1SIU1 [0001,0004,0019]
  39000000 IRISUILI2XSRI1 [0001,0003]
  40000000 IRISLCLILISXUI [0008,0002,0001]
  41000000 IRISLIR1C2X1LC [0001,0004]
  42000000 IRISI1R1ILIU1 [0006,0001,0004,0008]
  43000000 IRISISRIU1IS1S [0067]
  44000000 IRISIRILISU2X1 [0006,0002]
  45000000 IRISIL1IUXRC21 [0004,0008,0002]
  46000000 IRISIISRSI1RC [0001,0444,0002]
  47000000 IRISIIIXRSLCUS [0003,000c]
  48000000 IRIXUI1IXRXLI1 [0001,0008]
  49000000 IRIXLILISRI2XR [0003,0002]
  50000000 IRIXISI1USIU1X [0004]
  51000000 IRIXIUIL2L22R2 [0004,0001,0001]
  52000000 IRIXIISIR1L12 [0088,0002,0002]
  53000000 IRIRSRILXIUISX [0044]
  54000000 IRIRSILIUIU32U [0008,0004,0022,0001]
  55000000 IRIRXIRILSCR1R [0002,0004,0001]
  56000000 IRIRI2SSUIISXL [0064]
  57000000 IRIRI2U1IIS12C [0002,0011,0001,0008]
  58000000 IRIRI2ISRSILXR [0002,000e]
  59000000 IRIRI12IU3UXI3 [0002,0004,0001,0002]
  60000000 IRIRI1U2IXI3SL [0008,0002,0088]
  61000000 IRIRI1I1U33UXC [0001,0008,0002]
  62000000 IRIRISRSCLILI3 [0011,0008,0001,0004]
  63000000 IRIRIXSUI1RIS [0001,0111]
  64000000 IRIRIRXIUIX1SC [0002,0004,0002]
  65000000 IRIRIRIIUXL2U [0002,0002,0008,0008]
  66000000 IRIRIU1I1LS2L1 [0004,0001,0011]
  67000000 IRIRIUI1R12SUS [0002,00c8]
  68000000 IRIRIL2UIUXUSR [0002,0005]
  69000000 IRIRILSCU2UXL [0008,0004]
  70000000 IRIRILIRXXUISX [0002]
  71000000 IRIRII3RIRXSSS [0053]
  72000000 IRIRII2U1XXS [0003]
  73000000 IRIRIIR3SIL11 [0002,0001,0022,0008]
  74000000 IRIRIIU1S2LXSL [000b]
  75000000 IRIRIILSCIXL2L [0002,0008,0008,0001]
  76000000 IRIU1SUIXISUIR [0046,0002]
  77000000 IRIU1RIUXR1RSU [0022]
  78000000 IRIU1UILSL1XR [0088]
  79000000 IRIU1I22S1USLC [0023]
  80000000 IRIU1I1I2IXUC [0004,0002,0001,0004]
  81000000 IRIU1IU1RILSIS [0004,0004,000d]
  82000000 IRIU1II21R2LXR [0004,0002,0004]
  83000000 IRIUSUCXIRSIUX [000a]
  84000000 IRIUSCLI2IIRX1 [0001,0001,0001,0004]
  85000000 IRIUSI1IIXLXL1 [0003,0001]
  86000000 IRIUSIIUIL31UX [0001,0004,0006]
  87000000 IRIUXILI2X1ISU [0001,0006]
  88000000 IRIUI21L21L2XR [0004,0008]
  89000000 IRIUI2RIUIXS2 [0001,0044,0004]
  90000000 IRIUI2I2X1L2R1 [0001,0008,0001]
  91000000 IRIUI12RIRIUSL [0001,0004,0004,0003]
  92000000 IRIUI1RXI2LXRI [0001,0002,0001]
  93000000 IRIUI1I3L23IR2 [0001,0001,0001,0002,0004]
  94000000 IRIUIS1R1IXC2S [0004,0005]
  95000000 IRIUISISLCI31S [0088,0002,0003]
  96000000 IRIUIXIR2L22IR [0001,0004,0002,0002]
  97000000 IRIUIR1I2U3U3I [0001,0008,0008,0004,0001]
  98000000 IRIUIRI1USSCUS [0002,004c]
  99000000 IRIUIU2U1ISL2R [0008,000a,0008]
 100000000 IRIUIUI13IXL3C [0001,0004,0001,0004]
 101000000 IRIUIL2R1IXXIC [0004,0004,0001]
 102000000 IRIUILSRIXCL2L [0008,0008,0001]
 103000000 IRIUILIR23I1U3 [0008,0004,0001,0008,0002]
 104000000 IRIUII3R13R13 [0004,0008,0001,0001]
 105000000 IRIUII2RXSLI1U [0002,0001,0022]
 106000000 IRIUIIXL12RSIL [0008,0044,0008]
 107000000 IRIUIIU3LXL1L2 [0002,0008,0004]
 108000000 IRIUIIL1SRIU22 [0002,0004,0004,0003]
 109000000 IRIUIIIUSRSCLX [0002,0004,0008]
 110000000 IRIL1RSLCI2LC [0002,0001,0002]
 111000000 IRIL1UI1II2XU1 [0008,0001,0004,0001]
 112000000 IRIL1LIUI3IR13 [0001,0001,0002,0008,0004]
 113000000 IRIL1I1R1S1II [0005,0008,0001,0001]
 114000000 IRIL1IRI1R1LX2 [0002,0004,0008]
 115000000 IRIL1ILILISR3L [0002,0008,0003,0004]
 116000000 IRILSRC1RIXILX [0001,0008]
 117000000 IRILSCRI2IX1LS [0004,0088]
 118000000 IRILSI1SIL1IUS [0008,000f]
 119000000 IRILSII21I21XS [0001,000b]
 120000000 IRILXIRSILIXX [0022]
 121000000 IRILI22IL2I23U [0001,0002,0001,0008,0002]
 122000000 IRILI2R1XIRXSI [000c,0001]
 123000000 IRILI2LIL1R1C [0008,0001,0002,0008]
 124000000 IRILI2II4US33R [0001,0003,0001,0004]
 125000000 IRILI1R21X1IIX [0002,0001,0001]
 126000000 IRILI1LI1R2SRS [0002,0031]
 127000000 IRILI1IL21IXS1 [0002,0009,0008]
 128000000 IRILISLI2X1ISX [0001]
 129000000 IRILIXUIILSUS1 [0062,0002]
 130000000 IRILIR1SRSCIU [0004,0003,0004]
 131000000 IRILIRI3ISUSS1 [000f,0008]
 132000000 IRILIU22R22L12 [0001,0004,0001]
 133000000 IRILIU1I2RSS1I [0098,0002,0001]
 134000000 IRILIUI1L2SCIC [0002,0001,0008,0002,0001]
 135000000 IRILIL2RIIU24U [0008,0001,0004,0004,0002]
 136000000 IRILILI13IUS31 [0001,0008,0008,0006]
 137000000 IRILII31R31UXS [0001,000a]
 138000000 IRILII21I3R2C [0002,0008,0001,0002,0001]
 139000000 IRILIISIXLSLXC [0002]
 140000000 IRILIIRI33R23L [0002,0008,0002,0001,0001]
 141000000 IRILIIL31LSC3X [0001,0004,0002]
 142000000 IRILIIISRXU22S [0004,000a]
 143000000 IRII22RI1X2SRC [0002,0022]
 144000000 IRII22LILX1IR2 [0001,0002,0002,0008]
 145000000 IRII21SRIL1I32 [0008,0001,0001,0006]
 146000000 IRII21UIXRXUXL [0008]
 147000000 IRII21IRS22LXC [0003,0001]
 148000000 IRII2SUIRS1RIR [000e,0002,0002]
 149000000 IRII2XLILI3SU2 [0008,0044,0008]
 150000000 IRII2R1LXR1I2S [0001,0009]
 151000000 IRII2RISSC2XR1 [0022,0004]
 152000000 IRII2U2IX2SLS [0888]
 153000000 IRII2UXIUI1S2C [0001,0005,0001]
 154000000 IRII2UIIL23L1 [0001,0001,0008,0008,0008]
 155000000 IRII2I32ISXU1R [0001,0004,0002]
 156000000 IRII2I2R2U2L3L [0002,0008,0008,0008]
 157000000 IRII2IS2R1LCI4 [0002,0008,0001,0001,0001]
 158000000 IRII2IR2IL41L3 [0002,0001,0001,0004,0002]
 159000000 IRII2IUIS2RS2L [0002,0007,0008]
 160000000 IRII2II3X3XUXL [0002,0008]
 161000000 IRIIS1LI2LSXLC [0008]
 162000000 IRIISRI1SRCX1R [0044,0004]
 163000000 IRIISL1LI22SSU [0264]
 164000000 IRIISI1R1UXI2X [0022,0001]
 165000000 IRIISILI2LXSRS [0032]
 166000000 IRIIXSRIUXIXL [0003]
 167000000 IRIIXUIXRSIRXR [0005]
 168000000 IRIIXI2IS22R2R [0001,0002,0006]
 169000000 IRIIR22SRI2U2S [0001,000e]
 170000000 IRIIR2RXLISL1U [0088,0004]
 171000000 IRIIR2I3R3R1LI [0002,0001,0004,0001,0001]
 172000000 IRIIR1S1I22RIS [0001,0003,0005]
 173000000 IRIIR1UIUIXUS1 [0002,0005,0002]
 174000000 IRIIR1IR1LIS2S [0002,0002,000b]
 175000000 IRIIRSUI2U22L2 [000c,0008,0008]
 176000000 IRIIRXRIIX1LSC [0002,0011]
 177000000 IRIIRI3U32I31R [0002,0001,0001,0008,0002]
 178000000 IRIIRI2L12U1I [0002,0008,0008,0001,0001]
 179000000 IRIIRIS1XLSCIL [0008,0003,0008]
 180000000 IRIIRIRSU1XIRX [0002,0088]
 181000000 IRIIRIUIX1X1U1 [0002,0004,0004]
 182000000 IRIIRII34U4L [0001,0001,0001,0008,0001]
 183000000 IRIIU22IS2IU32 [0011,0004,0002,0004]
 184000000 IRIIU2R2USIUI1 [0004,0044,0001,0004]
 185000000 IRIIU2LIX1LXSR [0022]
 186000000 IRIIU2IL1LXRSU [0001,0005]
 187000000 IRIIU1XLIU2L2U [0004,0001,0008]
 188000000 IRIIU1L1LI23SX [0002,0001]
 189000000 IRIIU1IUI1S1XU [0002,0004,0005]
 190000000 IRIIUSLCI3ISX2 [0002,0001,0008]
 191000000 IRIIUSIL12SI22 [0001,0008,0007]
 192000000 IRIIUI33IU3LS2 [0004,0001,000c,0002]
 193000000 IRIIUI22R33XXI [0001,0008,0001]
 194000000 IRIIUI1R23I3R3 [0001,0002,0001,0001,0001]
 195000000 IRIIUIX1L1XLIX [0002,0004]
 196000000 IRIIUIRIUSSS1C [0065,0002]
 197000000 IRIIUIL12LXLIL [0002,0008,0002,0008]
 198000000 IRIIUIIRSXRS1 [0009,0002]
 199000000 IRIIL21I1RIS1C [0001,0002,0011,0001]
 200000000 IRIIL2U2R1L1L2 [0004,0001,0008]
 201000000 IRIIL2I12L1XLX [0001,0001]
 202000000 IRIIL12L21RILX [0001,0008,0002]
 203000000 IRIIL1RIR3S1R [0008,0022,0004]
 204000000 IRIIL1I3UXXU [0008,0004]
 205000000 IRIILS1I12U1IR [0001,0006,0002,0002]
 206000000 IRIILSCL2XUIIC [0008,0002,0001,0001]
 207000000 IRIILXRIIR3X2R [0001,0002,0004]
 208000000 IRIILI3R3RXIU [0008,0001,0004,0004]
 209000000 IRIILI2U2RSILX [0002,0001,0005]
 210000000 IRIILI1IR3SRX [0002,0001,0008]
 211000000 IRIILIR3I33U2C [0001,0002,0008,0008,0001]
 212000000 IRIILIU12SI1CR [0002,0004,0001,0008,0002]
 213000000 IRIILILIX31R1L [0001,0008,0001,0001]
 214000000 IRIII33R33SSSR [0264]
 215000000 IRIII32I4XRXXC [0001,0002]
 216000000 IRIII3SU12L1IU [000c,0008,0001,0004]
 217000000 IRIII3RIXSRCRS [0001,0001,000c]
 218000000 IRIII3I4R3LS1R [0001,0002,000a,0002]
 219000000 IRIIIS2L22R1RC [0001,0022,0002]
 220000000 IRIIISL21RI1SX [0001,0002]
 221000000 IRIIIXR1RIS1XX [0002]
 222000000 IRIIIR3S1IL1SX [0001,0022]
 223000000 IRIIIR2R3I12SU [0001,0002,0001,0088]
 224000000 IRIIIR1U1XR2XU [0001,0002]
 225000000 IRIIIRXLS1RISS [0059]
 226000000 IRIIIU33U1S22X [0006,0001]
 227000000 IRIIIU23I33XSX [0001,0002]
 228000000 IRIIIU12IRXR31 [0004,0001,0002,0002]
 229000000 IRIIIUSLSCI3X1 [0008,0001,0003]
 230000000 IRIIIUIS12U3SU [0005,0001,0009]
 231000000 IRIIIL3RI1L4U2 [0001,0008,0002,0004,0001]
 232000000 IRIIIL2UI22S22 [0002,000c,0001,0001]
 233000000 IRIIIL1LIL3XUX [0002,0008,0008]
 234000000 IRIIILXISL12LS [0088,0011]
 235000000 IRIIII43SU1UXX [0001,0001]
 236000000 IRIIIIXL32U3L [0008,0002,0004,0008]
 237000000 IRIIIIU13U4U4C [0004,0001,0004,0008,0001]
 238000000 IUI1SRCISI1USL [0008,000e]
 239000000 IUI1SI1I1SRCS1 [002a,0001]
 240000000 IUI1SIIU1UI3RS [0004,0004,000b]
 241000000 IUI1XIISI2XL1L [0008,0088]
 242000000 IUI1R1IUXLISUX [0008]
 243000000 IUI1RXIILIL2L1 [0001,0008,0008,0008]
 244000000 IUI1RISUII2XR2 [0001,0002,0001]
 245000000 IUI1RIUI3ISXSC [0008,0004,0001]
 246000000 IUI1RIIRI3L22C [0001,0001,0004,0002,0001]
 247000000 IUI1UISIX1IL2U [0001,0008,0044]
 248000000 IUI1UIL2RI2R3X [0002,0001,0001]
 249000000 IUI1L1XIU1I1I3 [0001,0002,0001,0004]
 250000000 IUI1LSRI1LSI1C [0001,0031]
 251000000 IUI1LI2IUSIR11 [0002,0001,0005,0002]
 252000000 IUI1LIRI3U2I2 [0002,0001,0002,0001,0004]
 253000000 IUI1LILIR1X2RI [0002,0002,0002,0001]
 254000000 IUI1I22XSI1U [0001,0044]
 255000000 IUI1I2RI2RXR2I [0002,0002,0004,0001]
 256000000 IUI1I2I33X1L2L [0004,0008,0008]
 257000000 IUI1I1XRIUISLX [0001,0002]
 258000000 IUI1I1LIL3SL2L [0002,000c,0008]
 259000000 IUI1I1IIU3R1 [0001,0004,0001,0002,0004]
 260000000 IUI1ISISSCLSI1 [0001,088c]
 261000000 IUI1IXIUI33XU [0004,0001,0004]
 262000000 IUI1IR1L2I22L [0002,0001,0002,0008]
 263000000 IUI1IRI1XLXR1C [0008,0001]
 264000000 IUI1IU2RSIXIXS [0064]
 265000000 IUI1IUI1R3SU1X [0004,0006]
 266000000 IUI1IL2U2IU3X2 [0004,0004,0004]
 267000000 IUI1ILSIU1R2RS [0004,000b]
 268000000 IUI1ILIU1IL3SX [0001,0004,0008]
 269000000 IUI1II23XSSCRS [0026]
 270000000 IUI1IISXLIS1S [0013]
 271000000 IUI1IIRS12XSUI [000d,0001]
 272000000 IUI1IIL33S1IS [0001,0005,0009]
 273000000 IUI1IIIS3L3SX [0001,0011]
 274000000 IUISRCLI2RIXIR [0001,0001,0001,0002]
 275000000 IUISRI1IIX2R1R [000a,0002,0002]
 276000000 IUISRIIL12L12X [0005,0001]
 277000000 IUISLCIXIUI31X [0002,0004,0008]
 278000000 IUISLIRIU1XSIU [000e,0004]
 279000000 IUISI1RCUI23SS [0008,0091]
 280000000 IUISI1I1LISCL3 [0001,0008,0009,0001]
 281000000 IUISIXC1IUS1LS [004c]
 282000000 IUISIRIRI2U1RS [0005,0002,000a]
 283000000 IUISIUIL12CXU [0008,0004,0001]
 284000000 IUISILII2LXU2U [0001,0004,0005]
 285000000 IUISIIR1LXXILX [0005]
 286000000 IUISIIIL3SCXSR [0001,000b]
 287000000 IUIXUIUSISRIRX [002a]
 288000000 IUIXLIIRIR23L1 [0002,0002,0001,0001]
 289000000 IUIXISIIUS [0005,0005]
 290000000 IUIXIL1SLCI1LS [0004,0011]
 291000000 IUIXIIR12R1XUS [0022]
 292000000 IUIR1SIXCRIS11 [0004,0005]
 293000000 IUIR1RIXSRIRSC [0004,0003]
 294000000 IUIR1UIL2LI2I [0001,0001,0001,0008,0001]
 295000000 IUIR1I21L1RS11 [0004,000c]
 296000000 IUIR1I1IIU13L [0002,0004,0004,0001,0008]
 297000000 IUIR1IUXR1RIIC [0008,0004,0001,0001]
 298000000 IUIR1IISS1I2XS [0003]
 299000000 IUIRSUCII3RIX [0001,0001,0001,0001]
 300000000 IUIRSIR1I1I13L [0001,0001,0006,0001]
 301000000 IUIRXRIISI21SC [0011,0008,0001]
 302000000 IUIRXIIL2RI3LX [0008,0008,0001]
 303000000 IUIRI2S1I2CUIL [0002,0001,0004,0004,0008]
 304000000 IUIRI2U2IL2I2 [0001,0002,0001,0001,0008]
 305000000 IUIRI2I1LI4L32 [0001,0002,0001,0001,0001]
 306000000 IUIRI12I2SUXRC [0001,0008]
 307000000 IUIRI1U2RI2U1L [0001,0008,0002,0008]
