C:\Program Files\nodejs\node.exe --max-old-space-size=25000 .\main.js
Shape Processing Unit 0.3.0
Sat Jul 10 2021 23:54:55 GMT-0700 (Pacific Daylight Time)

     Iters       ToDo      Total        Ops
       100       5476       5575      71541
       200       9350       9549     308019
       300      14039      14338     726717
       400      15853      16252    1226756
       500      18390      18889    1852846
       600      19278      19877    2423325
       700      20350      21049    3056493
       800      20564      21363    3710650
       900      20744      21643    4441645
      1000      20839      21838    5264478
      1100      21131      22230    5872914
      1200      21375      22574    6500042
      1300      21561      22860    7203112
      1400      21746      23145    7866649
      1500      21791      23290    8474199
      1600      21934      23533    9175475
      1700      21953      23652   10187622
      1800      22079      23878   11119234
      1900      22071      23970   12294513
      2000      22116      24115   13114569
      2100      22148      24247   13850771
      2200      22339      24538   14697314
      2300      22357      24656   15427647
      2400      22370      24769   16128551
      2500      22369      24868   16890618
      2600      22417      25016   17628746
      2700      22406      25105   18347286
      2800      22433      25232   19056868
      2900      22510      25409   19833276
      3000      22517      25516   20675543
      3100      22536      25635   21538053
      3200      22545      25744   22260137
      3300      22663      25962   23022308
      3400      22688      26087   23812481
      3500      22702      26201   24681114
      3600      22733      26332   25463639
      3700      22806      26505   26353867
      3800      22801      26600   27125404
      3900      22894      26793   28457803
      4000      22903      26902   29810646
      4100      22909      27008   31151632
      4200      22914      27113   32296417
      4300      22946      27245   33230972
      4400      22947      27346   34070387
      4500      22977      27476   34789151
      4600      22946      27545   35817408
      4700      23015      27714   36621026
      4800      22968      27767   37483079
      4900      22982      27881   38281392
      5000      22960      27959   39116874
      5100      22939      28038   40185055
      5200      22920      28119   41349274
      5300      22911      28210   42573685
      5400      22910      28309   44307504
      5500      22995      28494   45552933
      5600      23008      28607   46653837
      5700      23103      28802   48064151
      5800      23107      28906   49460782
      5900      23107      29006   51087206
      6000      23109      29108   52736391
      6100      23118      29217   54192452
      6200      23124      29323   55577570
      6300      23119      29418   57084803
      6400      23151      29550   58123319
      6500      23117      29616   59181717
      6600      23121      29720   60615110
      6700      23118      29817   62136364
      6800      23098      29897   63600065
      6900      23106      30005   65169627
      7000      23106      30105   66680708
      7100      23110      30209   68207089
      7200      23106      30305   69996945
      7300      23110      30409   71873387
      7400      23102      30501   73410698
      7500      23125      30624   74677140
      7600      23120      30719   76271100
      7700      23106      30805   77385769
      7800      23091      30890   78985543
      7900      23154      31053   80470898
      8000      23230      31229   81641020
      8100      23265      31364   83206184
      8200      23348      31547   84394977
      8300      23350      31649   85553835
      8400      23338      31737   87019443
      8500      23383      31882   88209715
      8600      23360      31959   89898800
      8700      23352      32051   91183496
      8800      23337      32136   92474010
      8900      23335      32234   93733862
      9000      23332      32331   94580765
      9100      23339      32438   96033386
      9200      23324      32523   97680247
      9300      23324      32623   99666375
      9400      23310      32709  101486785
      9500      23288      32787  102786637
      9600      23283      32882  104251341
      9700      23267      32966  105206568
      9800      23257      33056  106413984
      9900      23254      33153  107523138
     10000      23233      33232  108633725

Stats
Iters: 10000
Ops: 108645303
ToDo:  23234
Total: 33234

